,Current Portfolio,Add Orion,Add Cleanergy,Add NovaTerra,Add SMH,Add GRID,Add MOO
2019-06-21,0.0064784794254523215,0.002714297272608246,0.0015044575322194637,0.006384393370726563,0.0050765276851201385,0.00564257095963637,0.005706693863600135
2019-06-24,0.0024793217648384092,0.0029465921847033547,0.007038200635780582,-0.001070987963169255,0.0024027290568127344,0.0019342351933335014,0.002587614463884551
2019-06-25,-0.002663751957192983,-0.0041867251745271936,0.0027332094638771384,-0.0021188477828046406,-0.004496604023552488,-0.0035088132178084444,-0.00263392150202154
2019-06-26,-0.0019514962385686618,0.002191257973979198,-0.0043670738634876485,-0.0041725719398562,0.0019894859511330673,-0.0008354268632947207,-0.0015366533438219768
2019-06-27,1.2500978146637698e-05,0.001720334489016033,-0.0073748357255603095,0.003368259070110617,0.0016912520349042157,0.0011656420564255185,0.0009592212459835145
2019-06-28,0.007982706047869199,0.0077937183376915325,0.0006862736949362763,0.009338297621880084,0.00710980634938653,0.007608973169479047,0.007718949469358347
2019-07-01,0.0021985653643411943,0.007464263584447843,0.0024700289038917175,0.002503640945564538,0.005452048332588243,0.0023377372939285476,0.002279272921222479
2019-07-02,0.007387212601637843,0.0035341322931552524,0.0045472263453404035,0.0005397454627202106,0.00499634301033338,0.0064638110264331125,0.0062958736188394385
2019-07-03,0.0022003901828909368,0.0008766760966993567,0.0016778301746880955,-0.0007000451578089359,0.0014675820734295839,0.002363774368830042,0.0029529998233365842
2019-07-08,-0.00563016319118788,-0.0059860870441937955,-0.006877751137073167,-0.002423587316418445,-0.005739182591572377,-0.005992114547037554,-0.005799354960115889
2019-07-09,-0.003995931082680037,-0.001170366248469612,-0.0032404912149595344,-0.0074949976649515415,-0.0026215206882403697,-0.00428292828326822,-0.003833110389658334
2019-07-10,-0.0009173498244116056,0.0012211146852679905,0.0015841945112141514,7.38284018492047e-05,0.0004385065610497535,-0.0006443528284651306,-0.0009715000139280672
2019-07-11,-0.003439086855935842,-0.0036693451590425613,-0.005513378085669859,-0.0004157279114437862,-0.0026628254475714597,-0.0034044723776825575,-0.0030279499633183438
2019-07-12,-0.0012700834905863588,0.0014707702153317626,0.0027166208743550913,-0.005105042559666262,0.0011838758494241708,-0.00010689272928277038,-0.0009234986932669387
2019-07-15,0.0027477359291398734,0.003535332789210338,0.001128170663198938,0.0021581948816659507,0.0034108486411018046,0.0026664868107710293,0.003210725942225101
2019-07-16,0.002365058988444976,0.0006572526940792842,-0.004978953024349732,0.0024417987585362635,0.0007778464024808876,0.002174134928332856,0.0012308497958368816
2019-07-17,0.007171913907367519,0.0070557067340501906,0.007787208405366605,0.005187771545237585,0.006725080238262696,0.0058309286953593525,0.005806423317724782
