,Orion,Cleanergy,NovaTerra,ASML,NOVO-B,PVH,XLU,GLD,SMH,GRID,MOO
2019-06-21,-0.023634977797300283,-0.03331369572041054,0.005725790987646251,0.0017938183087622406,-0.022460166955924787,0.03129495433483864,0.003868032506500585,0.006635612181659978,-0.004737134497205142,-0.00020878830107529112,0.00030419493063482683
2019-06-24,0.006217485123757971,0.03895035273237579,-0.025923156059222907,-0.0057079323604063426,0.0030033274298115753,-0.006755289493387218,0.000327479268455777,0.014850786310930397,0.0018665801006330085,-0.001881370807200855,0.00334566335720754
2019-06-25,-0.014847537695866664,0.04051193941136799,0.0016954814379137595,-0.0019137494043808267,0.010181098334075545,-0.014466171833683927,-0.006064405439035303,0.0019411266395166216,-0.017326568488069016,-0.00942424204211667,-0.0024251083158214337
2019-06-26,0.031190537461814216,-0.021276117237920555,-0.019720101848868965,0.009360659245615022,-0.009337475517767757,0.024865885824320477,-0.021767799941405763,-0.009165393111099984,0.02957636127904517,0.006977058763622868,0.0013672469194048187
2019-06-27,0.0136751690651018,-0.05908619265150894,0.026858565713858473,0.003910670524420734,0.0005984401706837783,-0.002992833536946793,0.0013486987674955486,-0.000977700846950591,0.013442509432207261,0.009237629604377684,0.007586263120841652
2019-06-28,0.006470804366447869,-0.05038875277559418,0.018827438639956284,0.02248211880675477,0.000298935046548765,0.014579913799853017,0.0038719694951774297,0.0027100317696175935,0.0009995084600078474,0.0049928430207479835,0.005872653419782381
2019-07-01,0.04432415112519439,0.004370273680745385,0.004639170014127947,0.030586535402453263,0.01748904912872895,0.0065509325204486935,-0.0025155057612445963,-0.019369383559800002,0.028226429110317586,0.0033119408010400253,0.002844225819391477
2019-07-02,-0.02343742986622288,-0.015332677448741672,-0.047392524509703216,0.0017952777917122908,0.011017944599683416,-0.016166266423652265,0.013618129655329492,0.021359735486276676,-0.011739744128797858,0.0,-0.0013434992607493923
2019-07-03,-0.008389322506641705,-0.0019800898827317948,-0.021003092542708046,0.0,0.0026155017575850703,-0.0006402854680790382,0.006966357283229252,0.001649060899963084,-0.003662074692799888,0.0035074636704037765,0.008221267306456115
2019-07-08,-0.0084775540152352,-0.01561086675827017,0.020022443806967605,0.000538227861160534,-0.014441302061165784,-0.009911602098857109,0.0014830469860338535,-0.006432617734537516,-0.006502318394263851,-0.008525774037985268,-0.00698369734261195
2019-07-09,0.018608587591003367,0.002047587859083988,-0.03198846374085207,-0.010224673140859841,0.00313998487503242,-0.019912809237689233,0.0013165957902234737,0.0035037454291328984,0.006999352072837306,-0.006291908687385495,-0.0026933655385064093
2019-07-10,0.016190366253025168,0.019095004860594456,0.0070120759856748816,0.0030445806596688385,-0.0011923145781633782,-0.028866751930005652,0.002300955123370363,0.015787490178783115,0.009929501259279272,0.0012666261431601988,-0.0013505513405432934
2019-07-11,-0.005281153280789597,-0.02003341669380798,0.020747784700000604,0.003144130955549551,-0.024026370437565503,0.008803053930740212,0.000327479268455777,-0.008443584154164463,0.0027710044109792165,-0.0031621710299095662,-0.00014999171499585628
2019-07-12,0.02065674615675861,0.03062355142894524,-0.031949756043225586,-0.002485853815019201,-0.025229356305305095,0.010766122198947903,-0.0065560034937171,0.006254723814186791,0.018361591229497876,0.008035442599842346,0.0015025948879689999
2019-07-15,0.009048510809703592,-0.01020878619838761,-0.0019685924506515073,-0.0040084239355597795,-0.004392128268040696,0.014463466107784928,0.003959669697268131,0.0,0.008052637624835324,0.0020977429821891214,0.0064516560338216955
2019-07-16,-0.011297391366480558,-0.056387037113912686,0.002978977149175277,0.003263361225853023,0.005356714700337717,0.02232551566529617,-0.005751885095632958,-0.008462554430785363,-0.01033264169926773,0.0008376665075480183,-0.006708614552419778
2019-07-17,0.006242256520828882,0.012094269891360199,-0.008701224989671963,0.05171849954475993,0.007365513993264683,-0.03167589334845178,0.003801725910287157,0.01646531748539748,0.0035972445545289222,-0.0035559677886978225,-0.0037520108097743865
2019-07-18,0.023911113622568703,0.004606087349882548,-0.03785256800740322,0.028350465848049122,0.0024892048550586576,-0.018979491871768506,0.008727289634890667,0.014117951186161548,0.018008381916132965,-0.0029386721360005197,0.007080555869393379
2019-07-19,-0.006621783200336351,-0.052640750926244206,-0.007749787874063219,0.0,-0.009931545911229023,0.00432461751262081,-0.01452849626295516,-0.014727392803034478,8.585480640954657e-05,0.002947333382487205,-0.0002992099576862861
2019-07-22,0.038695968453420715,-0.040785445199007175,-0.007028971504039805,0.013533993576845038,0.014576540068360178,-0.017790437113534008,-0.0021532831721723378,-0.00014876383044060137,0.02000693818425625,0.0025188249816880948,0.0022445482963724395
2019-07-23,0.016796794196516585,0.009057307120931002,-0.0022737267231456304,0.01829872101525365,-0.008805588841694578,0.015920586045544916,-0.006308323654471537,-0.005652618252780628,0.011111960564897272,0.011097438205623922,0.008062132793578813
2019-07-24,0.03968646897701933,0.03213457959983845,-0.011012870766028637,0.017241443216057917,0.031951107828672276,0.01305936098652749,0.0008354113134945162,0.005086339018351538,0.02664231869651501,0.0037272530558072337,-0.0002963715652652965
2019-07-25,-0.02228284636246558,-0.0023108188509092242,-0.011373642778264026,-0.008355411364618481,-0.006192432823515781,0.001905668542654615,-0.0025037491823518554,-0.007070008058076338,-0.01808455003248355,-0.00206328849057702,-0.009777671115126618
2019-07-26,0.006628400333002604,-0.044658901220311464,-0.0018660364797917772,0.0033701373682000213,-0.0037992066045555717,-0.0007832858972817158,0.003681377476367542,0.001648937368628589,-0.0020646930061826163,0.0006203086774536626,0.0025433351734793774
2019-07-29,0.00852769635679329,0.00725050703598229,0.007141972998079282,-0.011276208914907437,0.00320358657963582,-0.002575177711613308,0.005168543575146289,0.006659678193005059,0.003393179400118518,-0.0037189523798401014,-0.0025368830296390588
2019-07-30,-0.0037815076154187333,0.05250651996351907,-0.00826318490746658,-0.005096001782883497,-0.0159672134790948,0.0,-0.007629935111283737,0.003344956160896251,-0.004453986444146962,-0.0031108512482013184,0.004189104171006264
2019-07-31,-0.04246281349620751,-0.023730675199820306,-0.012679602416402092,-0.010731420234156519,0.0013908666351201138,-0.0017961622885048767,-0.0046798934328421415,-0.013112972808538625,-0.02990878653086526,0.02038712278867738,-0.006406282031656607
2019-08-01,-0.035945545380032584,-0.010664799226772548,-0.0027221279434181955,0.023421848611387297,0.018981634660000024,-0.06882615953472992,0.010243634743402064,0.02402219643390402,-0.020155445585465337,-0.020591417752620522,-0.0053983029539048655
2019-08-02,-0.02538350325087302,0.04754280390148158,-0.04147875625740127,-0.04813302089230331,-0.008481045803320542,-0.02777749318069156,-0.00016638983268157936,-0.0038120684590625675,-0.013597220145052047,-0.00978344781930951,-0.009648716921908163
2019-08-05,-0.06513388432357547,0.027406647590838995,0.0008748894156995757,-0.03401514248030624,-0.01817641765502942,-0.04844707346432975,-0.014297432475718463,0.013981852270352535,-0.04312089295873289,-0.03552657966494199,-0.03090274571457452
2019-08-06,0.018925964134790974,0.016696764448436152,0.0010100032307971407,-0.004296575970060723,0.01011189115443245,0.0164485358411961,0.012480821922266294,0.008128386897085838,0.015883256450896166,0.01765461976612115,0.01303805422870341
2019-08-07,0.012249776529535295,-0.031850727505006615,-0.00012088018682654411,0.003052122009681746,0.004158571843783987,0.0,0.0024989794684016076,0.015189695160357397,0.0054540140106851265,0.01970452943967338,0.00790824641878296
2019-08-08,0.04290820410142082,0.03256280898256203,0.021313816065153146,0.027072515432055466,0.026993909357335033,0.00924793999922735,0.010302105582466803,0.005034686098196239,0.02558540798346387,0.016593166469042853,0.02323086435422006
2019-08-09,-0.0312070682968707,0.058133676089507924,-0.03965965572397856,-0.021454736565148513,-0.0023893648629333963,-0.04988558514102526,0.0011516948274203909,-0.0033161732510501585,-0.017277866402627073,-0.0033056978348441346,0.0
2019-08-12,-0.027168549279810494,0.018053880850303683,-0.049032699465853424,0.0022970722437229973,0.007335227935317823,-0.034288922356713325,-0.00197153261533467,0.009698502260031328,-0.011840741681941158,-0.01077957513784189,-0.026311919651216487
2019-08-13,0.043187962980197225,0.04725665007586222,0.0037524829096793333,0.018229001487615637,0.028087464430449183,0.03564502308323969,0.000658165873913541,-0.005959518154781018,0.02868570861600661,0.012573442362680876,0.010500366225307145
2019-08-14,-0.042633623703816514,-0.043103163911087705,-0.004607848797066771,-0.04194368112187585,-0.020670834792587578,-0.07111291234793282,-0.008224758877692029,0.0068415942238304606,-0.03220971902159997,-0.03290562773557293,-0.030868105900997422
2019-08-15,0.005994397299137866,-0.026004330361613093,0.0019793789183524257,0.0040575335245223165,0.01225089597027007,-0.002450603221987313,0.01293730879497823,0.0066549698650941735,-0.0010941698357360696,-0.010485733016498688,0.004257310683511095
2019-08-16,0.04080818627277849,-0.05724517446692812,-0.008308980442336966,0.017866636020468007,0.022359690197387483,0.022112954742843582,0.005076139393742407,-0.006402214255277094,0.024463666761523672,0.02465399061835538,0.01774218975982733
2019-08-19,0.022405130903830672,0.0109287793971653,0.010038276373164123,0.01912030367047124,-0.010072095757461819,0.017533811687477474,0.006353936928333637,-0.011696303286335752,0.016483946144565387,0.013507710633115178,0.010490579685535018
2019-08-20,-0.0020459482658715666,0.04569083713434541,0.01521672731779855,-0.0042033569422395,0.0017442479121718701,-0.001667802684431452,-0.0016188537954380244,0.007795380191040424,-0.0056977660513236605,-0.005830749850382011,-0.006564862688828166
2019-08-21,0.011915780708992685,-0.031210690693839305,0.011556771980717695,0.008956933063734906,0.01567018299958245,0.002088182446084774,0.006648078065409901,-0.003164420123660472,0.0102265809482458,0.01424361404625385,0.009220898298249791
2019-08-22,0.002797676024259621,-0.0039863285977619345,-0.008435856473432701,-0.011836751465914008,0.013857233821656934,0.010417762484828064,0.0009668563258624641,-0.0025395077899371676,-0.0013089361420391965,-0.012184832149041092,-0.0003045191774528888
2019-08-23,-0.06093924560928221,0.04955037846723842,-0.04937623485170883,-0.01817417519433051,-0.0009863672433324533,-0.051278220886246895,-0.010621208381516478,0.019589847185487175,-0.041419206219664884,-0.020280283765881535,-0.025285680369544705
2019-08-26,0.01554602653694337,0.024779693998414842,0.01287181989189623,0.011885008349435067,-0.009873014481201592,0.021301200381479424,0.011548321201385381,0.00013875475282665306,0.010300891016376656,0.007895804195804157,0.01203320494725002
2019-08-27,-0.0027032259201934528,0.053787903065051434,0.02217904904701462,0.005404654132430409,0.007407369561833077,-0.009506581294181804,0.0017688793916357248,0.00957073902105865,-0.0023459973342125906,0.008257440725016663,-0.004632586640623937
2019-08-28,0.00937555566587589,0.006039253342734696,0.014816588242371864,0.003307900662763652,-0.0026866475199400774,0.025211410628219966,-0.002728895608959614,-0.002816539407023644,0.006421307833401002,-0.003990008549280999,0.007601623490125942
2019-08-29,0.03564921020188572,0.005771681590484912,-0.016432988884344857,0.027408698323369007,0.006238502105392341,0.06246167270833913,0.006921009669037526,-0.007164566813753437,0.021657138602263704,0.0063252467602767926,0.012317223471062011
2019-08-30,-0.0032776967043494087,0.009081702980404227,0.01022626639087476,0.014191148504707929,-0.007186191730607749,-0.00263145937779663,0.0003194866307971722,-0.0025672712303844714,0.0064208944335424345,0.00209527758845085,0.0018250261542351875
2019-09-04,0.03961215912497251,-0.0015601389917329067,-0.013991380747024329,0.017143045714169913,0.0030469731137687806,0.0912518516497487,0.0009418241447474163,0.006243592878966586,0.029482339785857237,0.017747866438546644,0.005206037384902329
2019-09-05,0.04480618320161334,-0.0049610001579345475,-0.006222059324324736,0.05080595065195759,-0.01960515112803629,0.042920573728195244,-0.010823222519791398,-0.024001119491110168,0.030363099084789402,0.008926502487752064,0.010357881059420482
2019-09-06,0.012491310409470602,-0.0027376677994292997,0.009735603481203503,0.010227677453242157,0.00647799245419356,0.009815259493463735,-0.003964641523239054,-0.008523132778435305,0.000837187346555357,0.00020581911837092015,0.004070402804268181
2019-09-09,0.01813927825351369,0.011472591439695812,0.0015362581204565462,0.008513730327401436,-0.042535360280178236,0.04450184674386426,-0.004935591993059929,-0.0037344897557421985,0.003847786650424956,0.0049372941231689005,-0.004804536024647144
2019-09-10,0.0018294531504332578,-0.02543509508530095,-0.023058658083373595,-0.00958246609056379,-0.02864239613557551,0.015136531432282663,0.001279926508514384,-0.008557937047107611,0.0019997934711986076,0.011463780984135141,0.005883905355651864
2019-09-11,0.029333602276896853,0.01317154066950632,0.003952033241781727,0.018198638451786042,0.030840804388713616,-0.0015466157320114249,0.00990769055836882,0.006063676329913781,0.012723423321546523,0.020036416886134,0.0080996874428243
2019-09-12,0.000945502349806393,0.03259702273316023,0.015505587099196028,0.012669495417056975,-0.0010214306454031652,-0.00011058886224357689,0.0022150248023056207,0.002056360685188219,0.0015603080544246417,-0.010515817898663404,-0.003124417248594802
2019-09-13,-0.010104264874316926,-0.013695460501639167,0.0006969696743992504,0.012511060072837754,-0.01636237452154965,0.002433991527802659,-0.006315207117707056,-0.008279177519783909,-0.0004918814845661368,0.0030079252806423096,0.005074522752354982
