Ticker,Company Name,Description,Market Cap,Market Cap $bn,Quote Type,Exchange,Market-Cap Eligible
CRUS,"Cirrus Logic, Inc.",Orion alternative: profitable mid-cap fabless semiconductor company; less pure edge-AI exposure but cleaner public data and compliance profile,8294426624,8.294426624,EQUITY,NMS,True
ITRI,"Itron, Inc.",Cleanergy alternative: smart-grid / utility infrastructure,3550251520,3.55025152,EQUITY,NMS,True
TRMB,Trimble Inc.,"NovaTerra alternative: positioning, software, connected workflows, precision agriculture",12632312832,12.632312832,EQUITY,NMS,True
AGCO,AGCO Corporation,NovaTerra alternative: agricultural equipment and precision farming exposure,8429076992,8.429076992,EQUITY,NYQ,True
