Scenario,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown
Current Portfolio,1.263348738615079,0.14301055657506656,0.18631189436718051,0.6065665155674235,-0.3269906513367761
Add Orion,1.9951403311123697,0.19662803692389885,0.2155601544221318,0.7730001742232514,-0.35218337166882696
Add Cleanergy,1.2434243513790726,0.14135795554108777,0.1719262588327886,0.6477076643038681,-0.3809506711285374
Add NovaTerra,1.3424063771351222,0.14945026572593845,0.17121191213191372,0.6976749703835183,-0.31370709643785766
Add SMH,1.6340993384510485,0.17173854180216375,0.19434550784504084,0.7293121584018157,-0.3233744970474024
Add GRID,1.3891245318043857,0.15317075468127928,0.18727951948400412,0.657684059744715,-0.3354222090747472
Add MOO,1.1296112729764318,0.1316753945293596,0.18151548801587417,0.5601472119033046,-0.32777261841633965
